,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag
10166,GUY,1987,Cumulative AIDS cases & deaths,4,2,-1.0,Guyana,767245,4000.0,LATIN AMER. & CARIB,0.0005213458543229347,🇬🇾
10167,GUY,1987,Cumulative AIDS cases & deaths,2,0,-1.0,Guyana,767245,4000.0,LATIN AMER. & CARIB,0.0002606729271614673,🇬🇾
10171,GUY,2000,Cumulative AIDS cases & deaths,1214,377,-1.0,Guyana,767245,4000.0,LATIN AMER. & CARIB,0.15822846678701066,🇬🇾
10425,GUY,1989,Cumulative AIDS cases & deaths,82,23,-1.0,Guyana,767245,4000.0,LATIN AMER. & CARIB,0.01068759001362016,🇬🇾
11286,HKG,1995,Cumulative AIDS cases & deaths,148,74,-1.0,Hong Kong,6940432,28800.0,ASIA (EX. NEAR EAST),0.0021324321022092,🇭🇰
11406,HND,1995,Cumulative AIDS cases & deaths,4973,955,-1.0,Honduras,7326496,2600.0,LATIN AMER. & CARIB,0.06787692233777239,🇭🇳
11409,HND,1988,Cumulative AIDS cases & deaths,211,97,-1.0,Honduras,7326496,2600.0,LATIN AMER. & CARIB,0.0028799578952885528,🇭🇳
11413,HND,1987,Cumulative AIDS cases & deaths,29,13,-1.0,Honduras,7326496,2600.0,LATIN AMER. & CARIB,0.0003958235969827869,🇭🇳
11416,HND,1987,Cumulative AIDS cases & deaths,20,11,-1.0,Honduras,7326496,2600.0,LATIN AMER. & CARIB,0.0002729817910226116,🇭🇳
11439,HND,1999,Cumulative AIDS cases & deaths,10866,"1,081",-1.0,Honduras,7326496,2600.0,LATIN AMER. & CARIB,0.1483110070625849,🇭🇳
11691,HTI,1995,Cumulative AIDS cases & deaths,4967,297,-1.0,Haiti,8308504,1600.0,LATIN AMER. & CARIB,0.05978212202822553,🇭🇹
11692,HTI,1988,Cumulative AIDS cases & deaths,1849,295,-1.0,Haiti,8308504,1600.0,LATIN AMER. & CARIB,0.022254307153249248,🇭🇹
11693,HTI,1987,Cumulative AIDS cases & deaths,912,124,-1.0,Haiti,8308504,1600.0,LATIN AMER. & CARIB,0.010976705313014232,🇭🇹
