,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country_x,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag,Country,Alpha-3 code,Latitude (average),Longitude (average)
81,CHN,2011,Cumulative AIDS cases & deaths,230,42,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.7504155351394005e-05,🇨🇳,China,CHN,35.0,105.0
82,CHN,2011,Cumulative AIDS cases & deaths,5,2,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.805251163346523e-07,🇨🇳,China,CHN,35.0,105.0
83,CHN,2003,Cumulative AIDS cases & deaths,7,5,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.327351628685132e-07,🇨🇳,China,CHN,35.0,105.0
84,CHN,2011,Cumulative AIDS cases & deaths,72,28,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.479561675218993e-06,🇨🇳,China,CHN,35.0,105.0
85,CHN,2011,Cumulative AIDS cases & deaths,44,10,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.34862102374494e-06,🇨🇳,China,CHN,35.0,105.0
86,CHN,2011,Cumulative AIDS cases & deaths,41,20,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.120305953944149e-06,🇨🇳,China,CHN,35.0,105.0
87,CHN,2000,Cumulative AIDS cases & deaths,0,0,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0,🇨🇳,China,CHN,35.0,105.0
88,CHN,2002,Cumulative AIDS cases & deaths,7,4,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.327351628685132e-07,🇨🇳,China,CHN,35.0,105.0
89,CHN,2011,Cumulative AIDS cases & deaths,918,259,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),6.986441135904216e-05,🇨🇳,China,CHN,35.0,105.0
90,CHN,2011,Cumulative AIDS cases & deaths,0,0,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0,🇨🇳,China,CHN,35.0,105.0
91,CHN,1995,Cumulative AIDS cases & deaths,77,49,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.8600867915536445e-06,🇨🇳,China,CHN,35.0,105.0
92,CHN,2004,Cumulative AIDS cases & deaths,23,8,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.7504155351394006e-06,🇨🇳,China,CHN,35.0,105.0
93,COK,2004,Cumulative AIDS cases & deaths,0,0,-1.0,Cook Islands,21388,5000.0,OCEANIA,0.0,🇨🇰,Cook Islands,COK,-21.2333,-159.7667
94,COL,1988,Cumulative AIDS cases & deaths,308,98,-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.0007065348856761,🇨🇴,Colombia,COL,4.0,-72.0
95,COL,1999,Cumulative AIDS cases & deaths,6006,"3,375",-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.0137774302706842,🇨🇴,Colombia,COL,4.0,-72.0
96,COL,1995,Cumulative AIDS cases & deaths,6541,"2,867",-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.0150046905428814,🇨🇴,Colombia,COL,4.0,-72.0
97,COL,1987,Cumulative AIDS cases & deaths,57,34,-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.0001307548327387,🇨🇴,Colombia,COL,4.0,-72.0
98,COL,1987,Cumulative AIDS cases & deaths,153,53,-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.000350973498404,🇨🇴,Colombia,COL,4.0,-72.0
99,CRI,1995,Cumulative AIDS cases & deaths,898,499,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0220353984689569,🇨🇷,Costa Rica,CRI,10.0,-84.0
100,CRI,1987,Cumulative AIDS cases & deaths,31,18,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0007606874749862,🇨🇷,Costa Rica,CRI,10.0,-84.0
101,CRI,1988,Cumulative AIDS cases & deaths,93,41,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0022820624249587,🇨🇷,Costa Rica,CRI,10.0,-84.0
102,CRI,1987,Cumulative AIDS cases & deaths,27,15,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0006625342524073,🇨🇷,Costa Rica,CRI,10.0,-84.0
103,CRI,1999,Cumulative AIDS cases & deaths,1277,840,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0313354163083051,🇨🇷,Costa Rica,CRI,10.0,-84.0
104,CUB,1995,Cumulative AIDS cases & deaths,440,288,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,0.0038654744606345,🇨🇺,Cuba,CUB,21.5,-80.0
105,CUB,1987,Cumulative AIDS cases & deaths,4,3,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,3.514067691485941e-05,🇨🇺,Cuba,CUB,21.5,-80.0
106,CUB,1988,Cumulative AIDS cases & deaths,43,11,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,0.0003777622768347,🇨🇺,Cuba,CUB,21.5,-80.0
107,CUB,1986,Cumulative AIDS cases & deaths,3,3,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,2.6355507686144556e-05,🇨🇺,Cuba,CUB,21.5,-80.0
108,CUB,1999,Cumulative AIDS cases & deaths,889,578,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,0.0078100154443275,🇨🇺,Cuba,CUB,21.5,-80.0
109,CYM,1989,Cumulative AIDS cases & deaths,5,5,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.0110044898318513,🇰🇾,Cayman Islands,CYM,19.5,-80.5
110,CYM,1999,Cumulative AIDS cases & deaths,26,19,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.0572233471256272,🇰🇾,Cayman Islands,CYM,19.5,-80.5
111,CYM,1995,Cumulative AIDS cases & deaths,18,16,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.039616163394665,🇰🇾,Cayman Islands,CYM,19.5,-80.5
112,CYM,1986,Cumulative AIDS cases & deaths,2,2,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.0044017959327405,🇰🇾,Cayman Islands,CYM,19.5,-80.5
113,CYM,1987,Cumulative AIDS cases & deaths,2,2,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.0044017959327405,🇰🇾,Cayman Islands,CYM,19.5,-80.5
114,CYM,1988,Cumulative AIDS cases & deaths,4,2,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.0088035918654811,🇰🇾,Cayman Islands,CYM,19.5,-80.5
115,CZE,2009,Cumulative AIDS cases & deaths,292,156,-1.0,Czech Republic,10235455,15700.0,EASTERN EUROPE,0.0028528287213416,🇨🇿,Czech Republic,CZE,49.75,15.5
116,DMA,1989,Cumulative AIDS cases & deaths,10,4,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0145116819039326,🇩🇲,Dominica,DMA,15.4167,-61.3333
117,DMA,1988,Cumulative AIDS cases & deaths,6,6,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0087070091423596,🇩🇲,Dominica,DMA,15.4167,-61.3333
118,DMA,1998,Cumulative AIDS cases & deaths,97,94,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.1407633144681468,🇩🇲,Dominica,DMA,15.4167,-61.3333
119,DMA,1995,Cumulative AIDS cases & deaths,31,11,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0449862139021912,🇩🇲,Dominica,DMA,15.4167,-61.3333
120,DMA,1987,Cumulative AIDS cases & deaths,5,3,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0072558409519663,🇩🇲,Dominica,DMA,15.4167,-61.3333
121,DMA,1987,Cumulative AIDS cases & deaths,3,3,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0043535045711798,🇩🇲,Dominica,DMA,15.4167,-61.3333
122,DOM,1988,Cumulative AIDS cases & deaths,701,65,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0076328530189076,🇩🇴,Dominican Republic,DOM,19.0,-70.6667
123,DOM,1986,Cumulative AIDS cases & deaths,200,35,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0021777041423417,🇩🇴,Dominican Republic,DOM,19.0,-70.6667
124,DOM,2000,Cumulative AIDS cases & deaths,4965,989,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0540615053336329,🇩🇴,Dominican Republic,DOM,19.0,-70.6667
125,DOM,1987,Cumulative AIDS cases & deaths,200,35,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0021777041423417,🇩🇴,Dominican Republic,DOM,19.0,-70.6667
126,DOM,1995,Cumulative AIDS cases & deaths,3090,617,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0336455289991794,🇩🇴,Dominican Republic,DOM,19.0,-70.6667
127,ECU,1997,Cumulative AIDS cases & deaths,553,430,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0040819309230995,🇪🇨,Ecuador,ECU,-2.0,-77.5
128,ECU,1995,Cumulative AIDS cases & deaths,543,393,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0040081166206926,🇪🇨,Ecuador,ECU,-2.0,-77.5
129,ECU,1987,Cumulative AIDS cases & deaths,52,6,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0003838343725156,🇪🇨,Ecuador,ECU,-2.0,-77.5
130,ECU,1988,Cumulative AIDS cases & deaths,45,26,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0003321643608308,🇪🇨,Ecuador,ECU,-2.0,-77.5
131,ECU,1987,Cumulative AIDS cases & deaths,18,6,-1.0,Ecuador,13547510,3300.0,LATIN AMER. & CARIB,0.0001328657443323,🇪🇨,Ecuador,ECU,-2.0,-77.5
132,FJI,2004,Cumulative AIDS cases & deaths,30,17,-1.0,Fiji,905949,5800.0,OCEANIA,0.0033114446839722,🇫🇯,Fiji,FJI,-18.0,175.0
133,FJI,1995,Cumulative AIDS cases & deaths,7,7,-1.0,Fiji,905949,5800.0,OCEANIA,0.0007726704262601,🇫🇯,Fiji,FJI,-18.0,175.0
134,GEO,2006,Cumulative AIDS cases & deaths,518,269,-1.0,Georgia,4661473,2500.0,C.W. OF IND. STATES,0.0111123672710321,🇬🇪,Georgia,GEO,42.0,43.5
135,GRD,1997,Cumulative AIDS cases & deaths,102,68,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.1137085716196782,🇬🇩,Grenada,GRD,12.1167,-61.6667
136,GRD,1995,Cumulative AIDS cases & deaths,76,53,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.0847240337558387,🇬🇩,Grenada,GRD,12.1167,-61.6667
137,GRD,1988,Cumulative AIDS cases & deaths,16,5,-1.0,Grenada,89703,5000.0,LATIN AMER. & CARIB,0.0178366386854397,🇬🇩,Grenada,GRD,12.1167,-61.6667
